2303 63337652 聯電            
2603 33453946 長榮            
2610 27179853 華航            
2344 24316540 華邦電          
2609 20080767 陽明            
2618 16234900 長榮航          
00881 13432821 國泰台灣5G+     
1905 12818719 華紙            
3037 8886271 欣興            
2888 8197342 新光金          
2887 7023286 台新金          
6116 6847852 彩晶            
2324 6825241 仁寶            
00637L 6406249 元大滬深300正2  
2353 6178976 宏碁            
00642U 6011000 期元大S&P石油   
1714 5549100 和桐            
2401 5442170 凌陽            
2891 4724109 中信金          
3035 4345759 智原            
1717 4013000 長興            
2408 3793397 南亞科          
1312 3634544 國喬            
2393 3559513 億光            
034685 3350000 中鋼群益0B購13  
0050 3345907 元大台灣50      
3545 3190121 敦泰            
083135 3123000 聯發科凱基08購10
032073 3104000 萬海中信0A購01  
4960 2958000 誠美材          
1101 2914519 台泥            
9904 2899797 寶成            
00891 2857801 中信關鍵半導體  
031706 2749000 三陽永豐0A購01  
2368 2611259 金像電          
3711 2436185 日月光投控      
2369 2419000 菱生            
1102 2417605 亞泥            
030617 2377000 東森元大0A購01  
1440 2345810 南紡            
3530 2311000 晶相光          
00715L 2221000 期街口布蘭特正2 
031567 2190000 中鋼凱基0A購03  
2352 2170665 佳世達          
3189 2151386 景碩            
031569 2139000 中鋼凱基14購02  
033119 2126000 台泥元大0A購04  
2367 2126000 燿華            
2377 2102980 微星            
1711 2091000 永光            
8046 2056104 南電            
6672 2037000 騰輝電子-KY     
034725 2024000 華新元大0B購08  
035260 1944000 晶相光凱基11購01
2349 1903000 錸德            
032355 1888000 中鋼凱基14購04  
1455 1865982 集盛            
086654 1842000 長榮航兆豐09購01
06049P 1768000 美利達元大07售02
4306 1749000 炎洲            
033931 1749000 富邦金元大11購03
2313 1739824 華通            
035122 1731000 長榮永豐0B購05  
2323 1726393 中環            
2329 1712000 華泰            
083816 1687000 百和麥證07購01  
8110 1602000 華東            
089147 1577000 崇越元大09購01  
2426 1574181 鼎元            
2498 1559934 宏達電          
020022 1548000 元大電動車N     
6251 1511000 定穎            
2809 1510000 京城銀          
3017 1506096 奇鋐            
035221 1498000 東鋼國泰11購01  
035850 1484000 燁輝統一0B購04  
03787P 1450000 瑞昱中信09售01  
00692 1441880 富邦公司治理    
083933 1416000 欣興中信07購01  
035459 1394000 富邦金國票0B購05
4935 1371000 茂林-KY         
2454 1358985 聯發科          
3714 1337647 富采            
034241 1319000 大成鋼統一17購01
07077P 1312000 台灣50凱基0C售07
1709 1308000 和益            
3704 1294000 合勤控          
031368 1293000 聯電永豐11購01  
031900 1280000 中纖永豐0A購01  
084006 1257000 聯電統一07購05  
035143 1255000 長榮統一0C購16  
2489 1252863 瑞軒            
034600 1247000 友達統一0B購08  
5434 1232049 崇越            
035350 1232000 台玻國泰11購01  
034917 1225000 中鋼麥證11購03  
032777 1216000 台船元大0A購01  
034269 1208000 晶碩國票0C購01  
00671R 1203000 富邦NASDAQ反1   
088078 1203000 聯詠統一0B購06  
06284P 1197000 台積電元大0C售01
1301 1194930 台塑            
033944 1188000 中鋼國票0C購01  
033097 1184000 聯發科元富12購04
2312 1181000 金寶            
6257 1172309 矽格            
082623 1157000 滬深2X國票0A購01
2375 1136967 凱美            
083149 1136000 臺股指凱基07購27
1459 1132900 聯發            
033095 1105000 聯發科元富12購02
031823 1102000 康普元大0B購01  
069834 1101000 欣興元富08購03  
031869 1091000 東鋼凱基14購01  
6191 1084614 精成科          
083938 1081000 南電中信07購01  
083230 1080000 臻鼎國泰09購01  
089247 1062000 南電永豐09購04  
082449 1046000 遠東新元大07購01
2611 1039000 志信            
2458 1032731 義隆            
032228 1030000 新唐統一0C購03  
5876 1026090 上海商銀        
3014 1008000 聯陽            
3059 1007000 華晶科          
035373 1006000 南紡凱基0B購02  
1460 1000000 宏遠            
080507 998000 台郡元大06購03  
3682 996000 亞太電          
081661 995000 長榮永豐07購06  
030102 993000 東森永豐0A購01  
082612 993000 台郡元大07購02  
089122 991000 立積富邦09購01  
05486P 989000 聯發科元富09售06
034576 959000 大成鋼凱基0B購04
086622 957000 力麗凱基09購01  
2406 946000 國碩            
030963 945000 春源元大0A購01  
3041 943000 揚智            
2331 936501 精英            
031653 931000 台積電元大0A購13
033450 930000 上証2X群益0B購01
081735 919000 中興電元大07購03
00633L 915000 富邦上証正2     
00885 904102 富邦越南        
8429 901000 金麗-KY         
3706 900001 神達            
06347P 900000 台積電元大0C售07
081636 900000 合勤控元大07購02
2492 895959 華新科          
035056 892000 聯電國泰11購04  
033371 885000 滬深2X元大13購01
088201 885000 台郡群益09購02  
087074 884000 華通統一09購04  
030280 882000 長榮日盛0A購01  
034577 880000 大成鋼凱基0B購05
034666 879000 台玻凱基0B購03  
9919 878000 康那香          
034778 866000 長榮富邦12購01  
033894 855000 燁輝統一0B購02  
1414 846000 東和            
8105 845000 凌巨            
2204 844329 中華            
034922 843000 富邦金麥證0B購02
033504 836000 欣興統一11購01  
089691 832000 景碩元大09購04  
033430 832000 新纖元大0B購01  
